# relations.tsv — external relation mapping table
# Maps corpus predicate tags to relational connectives.
# Loaded once by RelMapInit(); missing file -> compiled fallback.
# Format: PREDICATE_TAG	CONNECTIVE
HIJO_DE	isa
HERMANO_DE	sibling_of
PADRE_DE	father_of
REY_DE	reigns
ESPOSA_DE	wife_of
CAPITAL	capital_of
MONEDA	currency_of
GOBIERNO	government_of
GENTILICIO	gentilicio_of
IDIOMA	language_of
IDIOMA_OFICIAL	language_of
PREMIO	award_of
AUTOR	author_of
DIRECTOR	director_of
PAIS	country_of
MIEMBRO_DE	member_of
