1CH 1:1	Adam, Seth, Enosh,
1CH 1:2	Kenan, Mahalalel, Jared,
1CH 1:3	Enoch, Methuselah, Lamech,
1CH 1:4	Noah, Shem, Ham, and Japheth.
1CH 1:5	The sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.
1CH 1:6	The sons of Gomer: Ashkenaz, Diphath, and Togarmah.
1CH 1:7	The sons of Javan: Elishah, Tarshish, Kittim, and Rodanim.
1CH 1:8	The sons of Ham: Cush, Mizraim, Put, and Canaan.
1CH 1:9	The sons of Cush: Seba, Havilah, Sabta, Raama, Sabteca. The sons of Raamah: Sheba and Dedan.
1CH 1:10	Cush became the father of Nimrod. He began to be a mighty one in the earth.
1CH 1:11	Mizraim became the father of Ludim, Anamim, Lehabim, Naphtuhim,
1CH 1:12	Pathrusim, Casluhim (where the Philistines came from), and Caphtorim.
1CH 1:13	Canaan became the father of Sidon his firstborn, Heth,
1CH 1:14	the Jebusite, and the Amorite, the Girgashite,
1CH 1:15	the Hivite, the Arkite, the Sinite,
1CH 1:16	the Arvadite, the Zemarite, and the Hamathite.
1CH 1:17	The sons of Shem: Elam, Asshur, Arpachshad, Lud, Aram, Uz, Hul, Gether, and Meshech.
1CH 1:18	Arpachshad became the father of Shelah, and Shelah became the father of Eber.
1CH 1:19	To Eber were born two sons: the name of the one was Peleg, for in his days the earth was divided; and his brother’s name was Joktan.
1CH 1:20	Joktan became the father of Almodad, Sheleph, Hazarmaveth, Jerah,
1CH 1:21	Hadoram, Uzal, Diklah,
1CH 1:22	Ebal, Abimael, Sheba,
1CH 1:23	Ophir, Havilah, and Jobab. All these were the sons of Joktan.
1CH 1:24	Shem, Arpachshad, Shelah,
1CH 1:25	Eber, Peleg, Reu,
1CH 1:26	Serug, Nahor, Terah,
1CH 1:27	Abram (also called Abraham).
1CH 1:28	The sons of Abraham: Isaac and Ishmael.
1CH 1:29	These are their generations: the firstborn of Ishmael, Nebaioth; then Kedar, Adbeel, Mibsam,
1CH 1:30	Mishma, Dumah, Massa, Hadad, Tema,
1CH 1:31	Jetur, Naphish, and Kedemah. These are the sons of Ishmael.
1CH 1:32	The sons of Keturah, Abraham’s concubine: she bore Zimran, Jokshan, Medan, Midian, Ishbak, and Shuah. The sons of Jokshan: Sheba and Dedan.
1CH 1:33	The sons of Midian: Ephah, Epher, Hanoch, Abida, and Eldaah. All these were the sons of Keturah.
1CH 1:34	Abraham became the father of Isaac. The sons of Isaac: Esau and Israel.
1CH 1:35	The sons of Esau: Eliphaz, Reuel, Jeush, Jalam, and Korah.
1CH 1:36	The sons of Eliphaz: Teman, Omar, Zephi, Gatam, Kenaz, Timna, and Amalek.
