EBER_THE	NAMIR	JOKTAN
NOW	THESE	THE_KINGS_WHO_REIGNED
DIED	ES	ZERAH
DIED	ES	BEDAD
DIED	ES	ACHBOR
DIED	ES_IN	PLACE
JUDAH’S_AND	KILLED	HIM
ABIGAIL	BORAR	AMASA
DIED_AND_WHO	BORAR	HUR
HEZRON_WENT_TO_WHOM	WAS	YEARS_OLD
HEZRON_DIED_CALEB	BORAR	THE_FATHER_OF_TEKOA
EPHAH	BORE	HARAN
MAACAH	BORE	AND_TIRHANAH
SOLOMON’S	WAS	REHOBOAM
NAARAH	BORAR	AHUZZAM
BECAME_THE	ES	HARUM
WIFE_THE_JEWESS	BORAR	THE_FATHER_OF_GEDOR
JAMLECH	ES	AMAZIAH
JOEL	ES	JOSHIBIAH
ZIZA_THE	ES	SHIPHI
NAME_WERE	THESE_IN	THEIR
FOR	WAS	BECAUSE
BELA_THE	ES	AZAZ
AND	LIVED	THEIR_LIVESTOCK_THE
GOD	DESTROYED	THEM
BROTHER_ASAPH_WHO_ASAPH	ES	BERECHIAH
WERE	ES	MACHIR
SISTER_HAMMOLECHETH	BORAR	ISHHOD
AND	BORAR	SON
WAS_HIS	ES	RESHEPH_AND
CHILDREN_OF_JOSEPH_THE	ES	ISRAEL_LIVED_THESE
BECAME_THE_AFTER	SENT	AWAY
HODESH_HIS_WIFE	BECAMAR	FATHER_OF_JOBAB
HIS_FIRSTBORN	ES	ABDON
WAS_HIS	ES	AZEL_HIS
IBNEIAH_THE	ES	JEROHAM
AZARIAH_THE	ES	HILKIAH_THE_THE_THE
BAKBAKKAR	ES	MICA
OBADIAH	ES	SHEMAIAH_THE
FIRSTBORN	ES	ABDON
BECAME_THE_AND	ES	HIS
AND	WAS	REASON_OF_THE_ARCHERS
HIS_ARMOR_BEARER_SAUL	LIKEWISE	ON_HIS_SWORD
THEREFORE	KILLED	HIM
HIM_WAS_ELEAZAR	ES	DODO
THEY_THEIR_LIVES_TO	BRING	IT
THEREFORE	WOULD	IT
HOWEVER	INCLUDED	THREE
YOU_HAVE	COMAR	MY_ADVERSARIES
AND	SAID	ON_YOUR_SIDE
CHILDREN_OF_JUDAH_WHO	BORE	AND
TO	BRING	JEARIM
TO	BRING	IS_CALLED_BY
BURNED	STRUCK	HIM
UZZA_TO	HAR	PLACE
MADE_HIMSELF_HOUSES_AND	PREPARED	GOD’S_ARK
TO	BRING	ARK_TO_ITS_PLACE
WHICH	PREPARED	IT
BECAUSE	WAS	SKILLFUL
SAME_TO	CONFIRMED	STATUTE
DAVID_AND_AND	SAID	WHAT_IS_MY_HOUSE
OF_DAVID	SERVANT	ESTABLISHED_BEFORE_YOU
YOU_MY	SERVANT	HOUSE
YOUR	SERVANT	COURAGE
MOAB	SERVANTS	BROUGHT_TRIBUTE
DAVID_PUT_GARRISONS_AND	SERVANTS	BROUGHT_TRIBUTE
DAVID_ALSO	DEDICATEDIR	YAHWEH_WITH
ABISHAI_THE	ES	ZERUIAH_STRUCK
THIS	ES	REIGNED
SAID_I	ES	NAHASH
HANUN_TOOK_DAVID’S	SERVANTS	SENT
REST_OF_THE_PEOPLE	COMMITTED	CHILDREN_OF_AMMON
AND	ENTERED	THE_CITY
