ABDA	HIJO_DE	SHAMMUA	NEH 11:17
ABDI	HIJO_DE	MALLUCH	1CH 6:44
ABDON	HIJO_DE	HILLEL	JDG 12:13
ABDON	HIJO_DE	HILLEL	JDG 12:15
ABDON	HIJO_DE	MICAH	2CH 34:20
ABIATHAR	HIJO_DE	AHIMELECH	1SA 23:6
ABIDAN	HIJO_DE	GIDEONI	NUM 10:24
ABIDAN	HIJO_DE	GIDEONI	NUM 1:11
ABIDAN	HIJO_DE	GIDEONI	NUM 2:22
ABIDAN	HIJO_DE	GIDEONI	NUM 7:60
ABIDAN	HIJO_DE	GIDEONI	NUM 7:65
ABIGAIL	ESPOSA_DE	NABAL	1SA 30:5
ABIGAIL	ESPOSA_DE	NABAL	2SA 2:2
ABIGAIL	ESPOSA_DE	NABAL	2SA 3:3
ABIHAIL	HIJO_DE	HURI	1CH 5:14
ABIJAH	HIJO_DE	JEROBOAM	1KI 14:1
ABIJAH	HIJO_DE	MAACAH	2CH 11:22
ABIMELECH	HIJO_DE	ABIATHAR	1CH 18:16
ABIMELECH	HIJO_DE	JERUBBAAL	JDG 9:1
ABIMELECH	HIJO_DE	JERUBBESHETH	2SA 11:21
ABIMELECH	REY_DE	GERAR	GEN 20:2
ABISHAI	HERMANO_DE	JOAB	1CH 11:20
ABISHAI	HERMANO_DE	JOAB	2SA 23:18
ABISHAI	HIJO_DE	ZERUIAH	1CH 18:12
ABISHAI	HIJO_DE	ZERUIAH	1SA 26:6
ABISHAI	HIJO_DE	ZERUIAH	2SA 16:9
ABISHAI	HIJO_DE	ZERUIAH	2SA 18:2
ABISHAI	HIJO_DE	ZERUIAH	2SA 19:21
ABISHUA	HIJO_DE	PHINEHAS	EZR 7:5
ABNER	HIJO_DE	NER	1CH 26:28
ABNER	HIJO_DE	NER	1KI 2:32
ABNER	HIJO_DE	NER	1KI 2:5
ABNER	HIJO_DE	NER	1SA 14:50
ABNER	HIJO_DE	NER	1SA 26:14
ABNER	HIJO_DE	NER	1SA 26:5
ABNER	HIJO_DE	NER	2SA 2:12
ABNER	HIJO_DE	NER	2SA 2:8
ABNER	HIJO_DE	NER	2SA 3:23
ABNER	HIJO_DE	NER	2SA 3:25
ABNER	HIJO_DE	NER	2SA 3:28
ABNER	HIJO_DE	NER	2SA 3:37
ABRAHAM	PADRE_DE	ISAAC	ACT 7:8
ABSALOM	HIJO_DE	DAVID	2SA 13:1
ABSALOM	HIJO_DE	MAACAH	1CH 3:2
ABSALOM	HIJO_DE	MAACAH	2SA 3:3
ACHAN	HIJO_DE	CARMI	JOS 7:1
ACHAN	HIJO_DE	CARMI	JOS 7:18
ACHAN	HIJO_DE	ZERAH	JOS 22:20
ACHAN	HIJO_DE	ZERAH	JOS 7:24
ACHBOR	HIJO_DE	MICAIAH	2KI 22:12
ACHISH	HIJO_DE	MAOCH	1SA 27:2
ADAH	ESPOSA_DE	ESAU	GEN 36:10
ADAIAH	HIJO_DE	JEROHAM	1CH 9:12
ADAIAH	HIJO_DE	JEROHAM	NEH 11:12
ADAIAH	HIJO_DE	JOIARIB	NEH 11:5
ADINA	HIJO_DE	SHIZA	1CH 11:42
ADONIJAH	HIJO_DE	HAGGITH	1CH 3:2
ADONIJAH	HIJO_DE	HAGGITH	1KI 1:11
ADONIJAH	HIJO_DE	HAGGITH	1KI 1:5
ADONIJAH	HIJO_DE	HAGGITH	1KI 2:13
ADONIJAH	HIJO_DE	HAGGITH	2SA 3:4
ADONIRAM	HIJO_DE	ABDA	1KI 4:6
AGUR	HIJO_DE	JAKEH	PRO 30:1
AHAB	HIJO_DE	KOLAIAH	JER 29:21
AHAB	HIJO_DE	OMRI	1KI 16:29
AHAB	HIJO_DE	OMRI	1KI 16:30
AHAB	REY_DE	ISRAEL	1KI 20:13
AHAB	REY_DE	ISRAEL	1KI 20:2
AHAB	REY_DE	ISRAEL	1KI 21:18
AHAB	REY_DE	ISRAEL	1KI 22:41
AHAB	REY_DE	ISRAEL	2CH 18:19
AHAB	REY_DE	ISRAEL	2CH 18:3
AHAB	REY_DE	ISRAEL	2CH 22:5
AHAB	REY_DE	ISRAEL	2KI 21:3
AHAB	REY_DE	ISRAEL	2KI 8:16
AHAB	REY_DE	ISRAEL	2KI 8:25
AHAB	REY_DE	SAMARIA	1KI 21:1
AHARHEL	HIJO_DE	HARUM	1CH 4:8
AHAZ	HIJO_DE	JOTHAM	2KI 16:1
AHAZ	HIJO_DE	JOTHAM	ISA 7:1
AHAZ	REY_DE	ISRAEL	2CH 28:19
AHAZ	REY_DE	JUDAH	2KI 17:1
AHAZ	REY_DE	JUDAH	2KI 18:1
