GRACE	UNTAR	YOU
BY THE GRACE OF WHAT I AM AND	WAS	THE GRACE OF GOD WHICH WAS WITH ME
ALL YOUR THINGS BE	DONE	CHARITY
HAVE KEPT FOR HIM THIS GREAT LOVING KINDNESS THAT GIVEN A	ES	ON HIS THRONE
JONATHAN DAVID MADE BECAUSE	LOVED	AS
GRACE	UNTAR	YOU
THE GRACE OF OUR LORD WAS EXCEEDING	ABUNDANT	FAITH AND LOVE WHICH CHRIST
YOU THAT YE WOULD	CONFIRM	LOVE TOWARD HIM
AND	SAID	GRACE FOR
SECOND EPISTLE BELOVED UNTO WHICH	STIR	YOUR
GRACE	UNTAR	YOU
THE PRAISE OF THE GLORY OF HIS GRACE WHEREIN HE HATH MADE US	ACCEPTED_IN	BELOVED
BUT	UNTAR	OF US IS GIVEN GRACE ACCORDING TO THE MEASURE OF THE GIFT OF CHRIST
LET	EVERY	OF YOU IN SO LOVE HIS WIFE EVEN AS HIMSELF AND
KING LOVED ESTHER THAN ALL AND FAVOR AND KINDNESS HIS SIGHT MORE THAN ALL THE	HAR	THE ROYAL CROWN ON AND
AND	EXTENDED	KINDNESS TO
IS BECOME OF EFFECT WHOSOEVER	FALLEN	GRACE
MAKE	SAVORY	AS I LOVE
US THEREFORE	COMAR	FIND GRACE TIME OF NEED
MOSES	HABER	MERCY UNDER TWO OR THREE WITNESSES
WHOM THE LORD LOVETH HE CHASTENETH AND	ES	WHOM
HAVE HEARD OF THE PATIENCE OF JOB AND SEEN THAT AND	TENDER	MERCY
CAME TO PASS THAT	LOVED	DELILAH
HAVE GRANTED	LIFIR	LOVING KINDNESS
SAID THE BEHOLD	LOVED	HIM
AND	THAT	LOVETH
YE KEEP MY COMMANDMENTS YE	ABIDIR	LOVE MY FATHER’S COMMANDMENTS AND
BELOVED	TO	UNTO AND
TELL	THEREFORAR	OF THEM WILL LOVE HIM MOST
JESUS	MOVED	COMPASSION FORTH AND AND
THEREFORE	ES	WELLBELOVED
WHEN HE	MOVED	COMPASSION FOR THEM BECAUSE LIKE
YOU ALSO HAVE HAD MERCY ON	SERVANT	AS I HAD
LORD	SERVANT	GRANT HIM MERCY THE
YOU ARE GOD READY TO PARDON GRACIOUS AND MERCIFUL SLOW	ABUNDANT	KINDNESS
GRACE	UNTAR	YOU
WHERE	FORMER	KINDNESSES
WHOM ALSO WE HAVE ACCESS BY THIS GRACE AND	REJOIZAR_IN	OF THE GLORY OF GOD
WHO	SEPARATIR	THE LOVE OF CHRIST
BE ABLE TO	SEPARATAR	THE LOVE OF
THAT	MIGHT	MERCY UPON ALL
TITUS MINE	ES	GRACE
