# Love/Amor - Knowledge Triples from the Bible
# Format: SUBJECT	PREDICATE	OBJECT
# Hand-curated from key Bible verses about love

# God is love (1 John 4:8, 16)
DIOS	ES	AMOR
DIOS	ES	FUENTE_DE_AMOR
AMOR	VIENE_DE	DIOS

# Greatest commandment (Matthew 22:37-39)
AMOR	ES	EL_GRANDE_Mandamiento
AMOR	ES	PRIMER_Mandamiento
AMOR	ES	SEGUNDO_Mandamiento
AMOR	INCLUYE	AMAR_A_DIOS
AMOR	INCLUYE	AMAR_AL_PROJIMO

# Love one another (John 13:34-35)
JESUS_Mandamiento	NUEVO	AMOR_A_OTROS
JESUS_Mandamiento	AMAR	LOS_UNDS_A_LOS_OTROS
AMOR	ES	SEÑAL_DE_DISCIPULOS

# God loved the world (John 3:16)
DIOS	AMO	AL_MUNDO
DIOS	AMO	TANTO_AL_MUNDO
DIOS_DIO_SU_HIJO	POR	EL_MUNDO
AMOR_DE_DIOS	ES	ETerno

# Love is patient (1 Corinthians 13:4-7)
AMOR	ES	PACIENTE
AMOR	ES	BONDADOSO
AMOR	NO	ENVIDIA
AMOR	NO	SE_Resume
AMOR	NO	SE_ENSOLECE
AMOR	NO	PIENSA_EL_MAL
AMOR	SE_ALEGRALA_LA_VERDAD
AMOR	TODO_LO_SOporta
AMOR	TODO_LO_CREe
AMOR	TODO_LO_ESPERa
AMOR	NUNCA_FALLA

# Perfect love casts out fear (1 John 4:18)
AMOR_PERFECTO	EXPULSA	MIEDO
AMOR_PERFECTO	NO	HAY_MIEDO
MIEDO	CASTIGA	AMOR_PERFECTO

# Love covers sins (Proverbs 10:12)
AMOR	CUBRE	LOS_PECADOS
ODIO	LEVANTA	PELEAS

# Love your enemies (Matthew 5:44)
JESUS_Mandamiento	AMAR	LOS_ENEMIGOS
JESUS_Mandamiento	ROGAR	POR_LOS_Q_NOS_PERSECUTAN
AMOR	INCLUYE	AMAR_A_LOS_ENEMIGOS

# Faith, Hope, Love (1 Corinthians 13:13)
AMOR	ES	EL_MAYOR
FE	ES	GRANDE
ESPERANZA	ES	GRANDE
AMOR	ES	MAYOR_QUE_LA_FE_Y_LA_ESPERANZA

# Love never fails (1 Corinthians 13:8)
AMOR	NUNCA_FALLA
PROFECIAS	PASARAN
Lenguas	CESSARAN
CONOCIMIENTO	PASARA
AMOR	QUEDARA_PARA_SIEMPRE

# As I have loved you (John 15:12)
JESUS_Mandamiento	AMAR	ASÍ_COMO_ELLA_LO_HE_AMADO
AMOR_DE_JESUS	ES	EJEMPLO

# Greater love (John 15:13)
AMOR_MAYOR	ES	DAR_LA_VIDA
AMOR_MAYOR	ES	DAR_LA_VIDA_POR_LOS_AMIGOS

# Love thy neighbor (Leviticus 19:18)
AMAR	EL_PROJIMO	COMO_A_TI_MISMO
AMOR	ES	AMAR_AL_PROJIMO

# Tender mercy (Luke 1:78)
MISERICORDIA	ES	TENDER
MERCY_DE_DIOS	ES	GRANDE
AMOR_Y_MERCY	VIENEN_DE_DIOS

# Abide in love (1 John 4:16)
QUEDAR_EN_AMOR	ES	QUEDAR_EN_DIOS
DIOS	QUEDA	EN_EL_QUE_AMA
EL_QUE_AMA	QUEDA	EN_DIOS

# Love builds up (1 Corinthians 8:1)
AMOR	EDIFICA
CONOCIMIENTO	HACE_INFLADO
AMOR	EDIFICA	EL_CUERPO

# Walk in love (Ephesians 5:2)
Caminar_EN_AMOR	COMO_CRISTO	NOS_AMO
CRISTO	SE_DIO	A_SÍ_MISMO_POR_AMOR
AMOR	ES	ofrenda_Y_SACRIFICIO

# Brotherly love (1 Peter 1:22)
AMOR	A_LOS_Hermanos	DE_CORA
AMOR	A_LOS_Hermanos	DE_SINCERIDAD
AMOR	DE_Hermanos	ES_POR_LA_VERDAD

# Love the Lord (Psalm 18:1)
AMAR_AL_SEÑOR	ES	DE_CORA
AMOR	A_DIOS	ES_FUERTE
AMOR	A_DIOS	ES_PROFundo

# steadfast love (Psalm 136)
MISERICORDIA	ES	ETerna
AMOR_DE_DIOS	ES	PERmanente
AMOR_DE_DIOS	NO	TERMINa
AMOR_DE_DIOS	DURA_para_SIEMPRE

# Love your wife (Ephesians 5:25)
AMAR	A_LA_ESPOSA	COMO_CRISTO_AMO_LA_IGLESIA
AMOR_CONYUGAL	ES	SACRIFICIO
AMOR_CONYUGAL	ES	CUIDAR

# Trust in love (Proverbs 3:5-6)
CONFIAR_EN_AMOR	ES	CONFIAR_EN_DIOS
AMOR	ES	FIel

# Delight in love (Psalm 37:4)
DELEITARSE_EN_AMOR	ES	DELEITARSE_EN_DIOS
AMOR	ES	DELEITE
AMOR	ES	PLACER

# Wonderful love (Song of Solomon 8:6)
AMOR	ES	FUERTE
AMOR	ES	IMPERABLE
AMOR	ES	GRANDE
AMOR	ES	INQUEBRANTABLE

# Love never ends (Revelation 21:4)
AMOR	NO	TERMINA
DIOS	ENJUGARA	LAS_LAGRIMAS
NO	HABRA_MAS_MUERTE
NO	HABRA_MAS_DOLOR
AMOR	ES_ETerno
