1	The First Book of Moses: Called Genesis
2	The Second Book of Moses: Called Exodus
3	The Third Book of Moses: Called Leviticus
4	The Fourth Book of Moses: Called Numbers
5	The Fifth Book of Moses: Called Deuteronomy
6	The Book of Joshua
7	The Book of Judges
8	The Book of Ruth
9	The First Book of Samuel Otherwise Called: The First Book of the Kings
10	The Second Book of Samuel Otherwise Called: The Second Book of the Kings
11	The First Book of the Kings Commonly Called: The Third Book of the Kings
12	The Second Book of the Kings Commonly Called: The Fourth Book of the Kings
13	The First Book of the Chronicles
14	The Second Book of the Chronicles
15	Ezra
16	The Book of Nehemiah
17	The Book of Esther
18	The Book of Job
19	The Book of Psalms
20	The Proverbs
21	Ecclesiastes or The Preacher
22	The Song of Solomon
23	The Book of the Prophet Isaiah
24	The Book of the Prophet Jeremiah
25	The Lamentations of Jeremiah
26	The Book of the Prophet Ezekiel
27	The Book of Daniel
28	Hosea
29	Joel
30	Amos
31	Obadiah
32	Jonah
33	Micah
34	Nahum
35	Habakkuk
36	Zephaniah
37	Haggai
38	Zechariah
39	Malachi
40	The Gospel According to Saint Matthew
41	The Gospel According to Saint Mark
42	The Gospel According to Saint Luke
43	The Gospel According to Saint John
44	The Acts of the Apostles
45	The Epistle of Paul the Apostle to the Romans
46	The First Epistle of Paul the Apostle to the Corinthians
47	The Second Epistle of Paul the Apostle to the Corinthians
48	The Epistle of Paul the Apostle to the Galatians
49	The Epistle of Paul the Apostle to the Ephesians
50	The Epistle of Paul the Apostle to the Philippians
51	The Epistle of Paul the Apostle to the Colossians
52	The First Epistle of Paul the Apostle to the Thessalonians
53	The Second Epistle of Paul the Apostle to the Thessalonians
54	The First Epistle of Paul the Apostle to Timothy
55	The Second Epistle of Paul the Apostle to Timothy
56	The Epistle of Paul the Apostle to Titus
57	The Epistle of Paul the Apostle to Philemon
58	The Epistle of Paul the Apostle to the Hebrews
59	The General Epistle of James
60	The First Epistle General of Peter
61	The Second General Epistle of Peter
62	The First Epistle General of John
63	The Second Epistle General of John
64	The Third Epistle General of John
65	The General Epistle of Jude
66	The Revelation of Saint John the Divine
